source	gene ID	gene name	orthologs
InParanoid	DDB_G0269546	DDB_G0269546	M.musculus:ENSMUSP00000107388
OrthoMCL	DDB_G0269370	DDB_G0269370	M.musculus:ENSMUSP00000034204
InParanoid	DDB_G0269370	DDB_G0269370	M.musculus:ENSMUSP00000034204
OrthoMCL	DDB_G0267552	DDB_G0267552	M.musculus:ENSMUSP00000022097
OrthoMCL	DDB_G0267560	uprt	M.musculus:ENSMUSP00000027839 | M.musculus:ENSMUSP00000050398
InParanoid	DDB_G0267560	uprt	M.musculus:ENSMUSP00000085175
OrthoMCL	DDB_G0269412	paf1	M.musculus:ENSMUSP00000003529
InParanoid	DDB_G0269412	paf1	M.musculus:ENSMUSP00000003529
OrthoMCL	DDB_G0268220	DDB_G0268220	M.musculus:ENSMUSP00000075065
InParanoid	DDB_G0268220	DDB_G0268220	M.musculus:ENSMUSP00000075065
OrthoMCL	DDB_G0267698	DDB_G0267698	M.musculus:ENSMUSP00000029915
InParanoid	DDB_G0267698	DDB_G0267698	M.musculus:ENSMUSP00000029915
OrthoMCL	DDB_G0269100	abpC	M.musculus:ENSMUSP00000033699 | M.musculus:ENSMUSP00000052020 | M.musculus:ENSMUSP00000064163
OrthoMCL	DDB_G0270430	wipA	M.musculus:ENSMUSP00000092268
OrthoMCL	DDB_G0268814	DDB_G0268814	M.musculus:ENSMUSP00000078361
InParanoid	DDB_G0269692	DDB_G0269692	M.musculus:ENSMUSP00000035660
OrthoMCL	DDB_G0269694	pan2	M.musculus:ENSMUSP00000100871
InParanoid	DDB_G0269694	pan2	M.musculus:ENSMUSP00000100871
OrthoMCL	DDB_G0269696	pakD	M.musculus:ENSMUSP00000023467 | M.musculus:ENSMUSP00000033040 | M.musculus:ENSMUSP00000033640
OrthoMCL	DDB_G0267906	DDB_G0267906	M.musculus:ENSMUSP00000095441
InParanoid	DDB_G0267906	DDB_G0267906	M.musculus:ENSMUSP00000095441
OrthoMCL	DDB_G0268098	nop58	M.musculus:ENSMUSP00000027174
InParanoid	DDB_G0268098	nop58	M.musculus:ENSMUSP00000027174
OrthoMCL	DDB_G0268698	DDB_G0268698	M.musculus:ENSMUSP00000085170
InParanoid	DDB_G0268698	DDB_G0268698	M.musculus:ENSMUSP00000085170
OrthoMCL	DDB_G0268706	ints3	M.musculus:ENSMUSP00000071422
InParanoid	DDB_G0268706	ints3	M.musculus:ENSMUSP00000071422
OrthoMCL	DDB_G0267594	pfdn2	M.musculus:ENSMUSP00000006579
InParanoid	DDB_G0267594	pfdn2	M.musculus:ENSMUSP00000006579
OrthoMCL	DDB_G0268742	DDB_G0268742	M.musculus:ENSMUSP00000080531
OrthoMCL	DDB_G0267448	DDB_G0267448	M.musculus:ENSMUSP00000005003 | M.musculus:ENSMUSP00000025713
OrthoMCL	DDB_G0268650	DDB_G0268650	M.musculus:ENSMUSP00000063883
OrthoMCL	DDB_G0269274	dhak	M.musculus:ENSMUSP00000044556
InParanoid	DDB_G0269274	dhak	M.musculus:ENSMUSP00000044556
OrthoMCL	DDB_G0268664	aatA	M.musculus:ENSMUSP00000034097 | M.musculus:ENSMUSP00000026196
InParanoid	DDB_G0268664	aatA	M.musculus:ENSMUSP00000034097
OrthoMCL	DDB_G0267636	mybM	M.musculus:ENSMUSP00000063883
InParanoid	DDB_G0267636	mybM	M.musculus:ENSMUSP00000020156
OrthoMCL	DDB_G0271530	pks9	M.musculus:ENSMUSP00000052872
OrthoMCL	DDB_G0269300	DDB_G0269300	M.musculus:ENSMUSP00000044790
InParanoid	DDB_G0269300	DDB_G0269300	M.musculus:ENSMUSP00000044790
OrthoMCL	DDB_G0267486	DDB_G0267486	M.musculus:ENSMUSP00000010348 | M.musculus:ENSMUSP00000034552
InParanoid	DDB_G0267486	DDB_G0267486	M.musculus:ENSMUSP00000010348
OrthoMCL	DDB_G0267824	DDB_G0267824	M.musculus:ENSMUSP00000039810
OrthoMCL	DDB_G0270386	DDB_G0270386	M.musculus:ENSMUSP00000040954
InParanoid	DDB_G0270386	DDB_G0270386	M.musculus:ENSMUSP00000040954
InParanoid	DDB_G0272004	p2xA	M.musculus:ENSMUSP00000021141
OrthoMCL	DDB_G0274559	udkB	M.musculus:ENSMUSP00000027839 | M.musculus:ENSMUSP00000050398
InParanoid	DDB_G0274559	udkB	M.musculus:ENSMUSP00000027839
OrthoMCL	DDB_G0273553	atg4-2	M.musculus:ENSMUSP00000027502 | M.musculus:ENSMUSP00000030279 | M.musculus:ENSMUSP00000108595 | M.musculus:ENSMUSP00000068450
OrthoMCL	DDB_G0269950	serC	M.musculus:ENSMUSP00000025542
InParanoid	DDB_G0269950	serC	M.musculus:ENSMUSP00000025542
OrthoMCL	DDB_G0273579	DDB_G0273579	M.musculus:ENSMUSP00000050153
InParanoid	DDB_G0273579	DDB_G0273579	M.musculus:ENSMUSP00000050153
OrthoMCL	DDB_G0271672	DDB_G0271672	M.musculus:ENSMUSP00000076012
OrthoMCL	DDB_G0269574	dcd3B	M.musculus:ENSMUSP00000033020
InParanoid	DDB_G0271400	dcc1	M.musculus:ENSMUSP00000105860
OrthoMCL	DDB_G0269912	redB	M.musculus:ENSMUSP00000005651
InParanoid	DDB_G0269912	redB	M.musculus:ENSMUSP00000005651
OrthoMCL	DDB_G0273563	dpp3-2	M.musculus:ENSMUSP00000025851
InParanoid	DDB_G0273563	dpp3-2	M.musculus:ENSMUSP00000025851
OrthoMCL	DDB_G0268990	DDB_G0268990	M.musculus:ENSMUSP00000036491
InParanoid	DDB_G0268990	DDB_G0268990	M.musculus:ENSMUSP00000036491
InParanoid	DDB_G0268850	DDB_G0268850	M.musculus:ENSMUSP00000113377
OrthoMCL	DDB_G0269382	pepD	M.musculus:ENSMUSP00000038331 | M.musculus:ENSMUSP00000075683
InParanoid	DDB_G0269382	pepD	M.musculus:ENSMUSP00000075683
OrthoMCL	DDB_G0274113	rpl8	M.musculus:ENSMUSP00000002844 | M.musculus:ENSMUSP00000004072
InParanoid	DDB_G0274113	rpl8	M.musculus:ENSMUSP00000004072
OrthoMCL	DDB_G0267572	DDB_G0267572	M.musculus:ENSMUSP00000043981
OrthoMCL	DDB_G0268992	anapc10	M.musculus:ENSMUSP00000048244
InParanoid	DDB_G0268992	anapc10	M.musculus:ENSMUSP00000048244
OrthoMCL	DDB_G0268994	manC	M.musculus:ENSMUSP00000083928 | M.musculus:ENSMUSP00000095949
InParanoid	DDB_G0269576	DDB_G0269576	M.musculus:ENSMUSP00000060912
OrthoMCL	DDB_G0270754	vps16	M.musculus:ENSMUSP00000105903
InParanoid	DDB_G0270754	vps16	M.musculus:ENSMUSP00000105903
OrthoMCL	DDB_G0268410	drnB	M.musculus:ENSMUSP00000087762
InParanoid	DDB_G0268410	drnB	M.musculus:ENSMUSP00000087762
InParanoid	DDB_G0267956	abiA	M.musculus:ENSMUSP00000084679
OrthoMCL	DDB_G0269142	hmgA	M.musculus:ENSMUSP00000022176
InParanoid	DDB_G0269142	hmgA	M.musculus:ENSMUSP00000022176
OrthoMCL	DDB_G0269144	hspB	M.musculus:ENSMUSP00000007248 | M.musculus:ENSMUSP00000015800 | M.musculus:ENSMUSP00000028222 | M.musculus:ENSMUSP00000073748 | M.musculus:ENSMUSP00000079306 | M.musculus:ENSMUSP00000084586 | M.musculus:ENSMUSP00000084589
InParanoid	DDB_G0269144	hspB	M.musculus:ENSMUSP00000015800
OrthoMCL	DDB_G0269610	gxcT	M.musculus:ENSMUSP00000076653
InParanoid	DDB_G0267786	DDB_G0267786	M.musculus:ENSMUSP00000028135
OrthoMCL	DDB_G0270200	DDB_G0270200	M.musculus:ENSMUSP00000031414
InParanoid	DDB_G0270200	DDB_G0270200	M.musculus:ENSMUSP00000031414
OrthoMCL	DDB_G0271562	orcD	M.musculus:ENSMUSP00000028098
InParanoid	DDB_G0271562	orcD	M.musculus:ENSMUSP00000028098
OrthoMCL	DDB_G0269052	DDB_G0269052	M.musculus:ENSMUSP00000048426
InParanoid	DDB_G0269052	DDB_G0269052	M.musculus:ENSMUSP00000048426
InParanoid	DDB_G0270238	DDB_G0270238	M.musculus:ENSMUSP00000059000
OrthoMCL	DDB_G0272082	DDB_G0272082	M.musculus:ENSMUSP00000049465 | M.musculus:ENSMUSP00000002502
InParanoid	DDB_G0272082	DDB_G0272082	M.musculus:ENSMUSP00000049465
OrthoMCL	DDB_G0270406	eIF4e3	M.musculus:ENSMUSP00000032151
OrthoMCL	DDB_G0271342	dgat1	M.musculus:ENSMUSP00000023214
InParanoid	DDB_G0271342	dgat1	M.musculus:ENSMUSP00000023214
OrthoMCL	DDB_G0272110	gskA	M.musculus:ENSMUSP00000110398 | M.musculus:ENSMUSP00000071654
InParanoid	DDB_G0272110	gskA	M.musculus:ENSMUSP00000071654
OrthoMCL	DDB_G0272114	orfR1062	M.musculus:ENSMUSP00000027800 | M.musculus:ENSMUSP00000038573 | M.musculus:ENSMUSP00000105816
InParanoid	DDB_G0272114	orfR1062	M.musculus:ENSMUSP00000038573 | M.musculus:ENSMUSP00000027800
OrthoMCL	DDB_G0271106	sod2	M.musculus:ENSMUSP00000007012
InParanoid	DDB_G0271106	sod2	M.musculus:ENSMUSP00000007012
OrthoMCL	DDB_G0271948	DDB_G0271948	M.musculus:ENSMUSP00000111222
OrthoMCL	DDB_G0271728	DDB_G0271728	M.musculus:ENSMUSP00000048534
OrthoMCL	DDB_G0271732	DDB_G0271732	M.musculus:ENSMUSP00000025751
InParanoid	DDB_G0271732	DDB_G0271732	M.musculus:ENSMUSP00000025751
OrthoMCL	DDB_G0273737	cak1-2	M.musculus:ENSMUSP00000110901 | M.musculus:ENSMUSP00000094305 | M.musculus:ENSMUSP00000113341
InParanoid	DDB_G0273737	cak1-2	M.musculus:ENSMUSP00000113341
OrthoMCL	DDB_G0273741	rexo2-2	M.musculus:ENSMUSP00000034524
InParanoid	DDB_G0273741	rexo2-2	M.musculus:ENSMUSP00000034524
OrthoMCL	DDB_G0273771	DDB_G0273771	M.musculus:ENSMUSP00000030942
InParanoid	DDB_G0273771	DDB_G0273771	M.musculus:ENSMUSP00000030942
OrthoMCL	DDB_G0273781	abcG17-2	M.musculus:ENSMUSP00000024829 | M.musculus:ENSMUSP00000034648 | M.musculus:ENSMUSP00000031239 | M.musculus:ENSMUSP00000031822 | M.musculus:ENSMUSP00000035246
OrthoMCL	DDB_G0272462	qprt	M.musculus:ENSMUSP00000032912
InParanoid	DDB_G0272462	qprt	M.musculus:ENSMUSP00000032912
InParanoid	DDB_G0272454	DDB_G0272454	M.musculus:ENSMUSP00000082710
OrthoMCL	DDB_G0273787	DDB_G0273787	M.musculus:ENSMUSP00000016031
OrthoMCL	DDB_G0274455	myoI	M.musculus:ENSMUSP00000025251 | M.musculus:ENSMUSP00000033031 | M.musculus:ENSMUSP00000071777 | M.musculus:ENSMUSP00000106087 | M.musculus:ENSMUSP00000016771 | M.musculus:ENSMUSP00000018632 | M.musculus:ENSMUSP00000018637 | M.musculus:ENSMUSP00000018641 | M.musculus:ENSMUSP00000019625 | M.musculus:ENSMUSP00000046059 | M.musculus:ENSMUSP00000080538 | M.musculus:ENSMUSP00000087756 | M.musculus:ENSMUSP00000090661 | M.musculus:ENSMUSP00000090672 | M.musculus:ENSMUSP00000099867 | M.musculus:ENSMUSP00000104324 | M.musculus:ENSMUSP00000104329 | M.musculus:ENSMUSP00000039576 | M.musculus:ENSMUSP00000042229 | M.musculus:ENSMUSP00000112728 | M.musculus:ENSMUSP00000091439
InParanoid	DDB_G0274455	myoI	M.musculus:ENSMUSP00000033031
OrthoMCL	DDB_G0274169	DDB_G0274169	M.musculus:ENSMUSP00000102716
InParanoid	DDB_G0274169	DDB_G0274169	M.musculus:ENSMUSP00000102716
OrthoMCL	DDB_G0273071	vatD-1	M.musculus:ENSMUSP00000013304 | M.musculus:ENSMUSP00000029900
InParanoid	DDB_G0273071	vatD-1	M.musculus:ENSMUSP00000013304
OrthoMCL	DDB_G0272815	cprE	M.musculus:ENSMUSP00000021933 | M.musculus:ENSMUSP00000036801 | M.musculus:ENSMUSP00000111640 | M.musculus:ENSMUSP00000015667 | M.musculus:ENSMUSP00000105433
InParanoid	DDB_G0272815	cprE	M.musculus:ENSMUSP00000105433 | M.musculus:ENSMUSP00000021933
OrthoMCL	DDB_G0273059	cak1-1	M.musculus:ENSMUSP00000110901 | M.musculus:ENSMUSP00000094305 | M.musculus:ENSMUSP00000113341
InParanoid	DDB_G0273059	cak1-1	M.musculus:ENSMUSP00000113341
OrthoMCL	DDB_G0272524	malA	M.musculus:ENSMUSP00000025439 | M.musculus:ENSMUSP00000032856 | M.musculus:ENSMUSP00000034989
InParanoid	DDB_G0272524	malA	M.musculus:ENSMUSP00000034989
OrthoMCL	DDB_G0273069	ndkC-1	M.musculus:ENSMUSP00000021217 | M.musculus:ENSMUSP00000024978 | M.musculus:ENSMUSP00000021220 | M.musculus:ENSMUSP00000025007
InParanoid	DDB_G0273069	ndkC-1	M.musculus:ENSMUSP00000021220
OrthoMCL	DDB_G0273093	DDB_G0273093	M.musculus:ENSMUSP00000068594
OrthoMCL	DDB_G0272660	serS	M.musculus:ENSMUSP00000099685 | M.musculus:ENSMUSP00000092216
InParanoid	DDB_G0272660	serS	M.musculus:ENSMUSP00000099685
OrthoMCL	DDB_G0273201	DDB_G0273201	M.musculus:ENSMUSP00000112304
InParanoid	DDB_G0273201	DDB_G0273201	M.musculus:ENSMUSP00000112304
OrthoMCL	DDB_G0271796	DDB_G0271796	M.musculus:ENSMUSP00000043825
InParanoid	DDB_G0271796	DDB_G0271796	M.musculus:ENSMUSP00000034543
OrthoMCL	DDB_G0275365	DDB_G0275365	M.musculus:ENSMUSP00000096222 | M.musculus:ENSMUSP00000058308
InParanoid	DDB_G0272532	DDB_G0272532	M.musculus:ENSMUSP00000022257
OrthoMCL	DDB_G0270658	acbA	M.musculus:ENSMUSP00000110741 | M.musculus:ENSMUSP00000092199 | M.musculus:ENSMUSP00000039763
InParanoid	DDB_G0270658	acbA	M.musculus:ENSMUSP00000110741
OrthoMCL	DDB_G0273105	DDB_G0273105	M.musculus:ENSMUSP00000026220 | M.musculus:ENSMUSP00000026221 | M.musculus:ENSMUSP00000036936 | M.musculus:ENSMUSP00000059860
OrthoMCL	DDB_G0278683	DDB_G0278683	M.musculus:ENSMUSP00000044955
OrthoMCL	DDB_G0273237	DDB_G0273237	M.musculus:ENSMUSP00000089038
InParanoid	DDB_G0273237	DDB_G0273237	M.musculus:ENSMUSP00000089038
OrthoMCL	DDB_G0272889	surf1-1	M.musculus:ENSMUSP00000015934
InParanoid	DDB_G0272889	surf1-1	M.musculus:ENSMUSP00000015934
OrthoMCL	DDB_G0274255	DDB_G0274255	M.musculus:ENSMUSP00000063883
OrthoMCL	DDB_G0273439	ap2a1-1	M.musculus:ENSMUSP00000003038 | M.musculus:ENSMUSP00000082519
InParanoid	DDB_G0273439	ap2a1-1	M.musculus:ENSMUSP00000003038
OrthoMCL	DDB_G0272434	DDB_G0272434	M.musculus:ENSMUSP00000015612 | M.musculus:ENSMUSP00000028288 | M.musculus:ENSMUSP00000078741 | M.musculus:ENSMUSP00000085016 | M.musculus:ENSMUSP00000025497 | M.musculus:ENSMUSP00000028633 | M.musculus:ENSMUSP00000058007 | M.musculus:ENSMUSP00000060769
OrthoMCL	DDB_G0271240	utp18	M.musculus:ENSMUSP00000068103
InParanoid	DDB_G0271240	utp18	M.musculus:ENSMUSP00000068103
OrthoMCL	DDB_G0273873	DDB_G0273873	M.musculus:ENSMUSP00000080403
InParanoid	DDB_G0273873	DDB_G0273873	M.musculus:ENSMUSP00000080403
OrthoMCL	DDB_G0273471	dpp3-1	M.musculus:ENSMUSP00000025851
InParanoid	DDB_G0273471	dpp3-1	M.musculus:ENSMUSP00000025851
OrthoMCL	DDB_G0276043	ifkC	M.musculus:ENSMUSP00000005233
OrthoMCL	DDB_G0275041	DDB_G0275041	M.musculus:ENSMUSP00000021030 | M.musculus:ENSMUSP00000077138 | M.musculus:ENSMUSP00000107804
OrthoMCL	DDB_G0270086	DDB_G0270086	M.musculus:ENSMUSP00000023207
InParanoid	DDB_G0270086	DDB_G0270086	M.musculus:ENSMUSP00000023207
OrthoMCL	DDB_G0274599	act13	M.musculus:ENSMUSP00000031564 | M.musculus:ENSMUSP00000034453 | M.musculus:ENSMUSP00000048218 | M.musculus:ENSMUSP00000052086 | M.musculus:ENSMUSP00000074658 | M.musculus:ENSMUSP00000087736 | M.musculus:ENSMUSP00000101823
OrthoMCL	DDB_G0274133	act2	M.musculus:ENSMUSP00000031564 | M.musculus:ENSMUSP00000034453 | M.musculus:ENSMUSP00000048218 | M.musculus:ENSMUSP00000052086 | M.musculus:ENSMUSP00000074658 | M.musculus:ENSMUSP00000087736 | M.musculus:ENSMUSP00000101823
OrthoMCL	DDB_G0275623	mcm4	M.musculus:ENSMUSP00000023353
InParanoid	DDB_G0275623	mcm4	M.musculus:ENSMUSP00000023353
OrthoMCL	DDB_G0275627	sky1	M.musculus:ENSMUSP00000002081 | M.musculus:ENSMUSP00000004987 | M.musculus:ENSMUSP00000085734
InParanoid	DDB_G0275627	sky1	M.musculus:ENSMUSP00000085734
OrthoMCL	DDB_G0272604	cyp508A2-1	M.musculus:ENSMUSP00000015368 | M.musculus:ENSMUSP00000030299 | M.musculus:ENSMUSP00000030303 | M.musculus:ENSMUSP00000030305 | M.musculus:ENSMUSP00000050464 | M.musculus:ENSMUSP00000006094 | M.musculus:ENSMUSP00000014525 | M.musculus:ENSMUSP00000023083 | M.musculus:ENSMUSP00000071064 | M.musculus:ENSMUSP00000072555 | M.musculus:ENSMUSP00000086528 | M.musculus:ENSMUSP00000086530 | M.musculus:ENSMUSP00000105141 | M.musculus:ENSMUSP00000034860 | M.musculus:ENSMUSP00000034865 | M.musculus:ENSMUSP00000005477 | M.musculus:ENSMUSP00000005669 | M.musculus:ENSMUSP00000076578 | M.musculus:ENSMUSP00000077021 | M.musculus:ENSMUSP00000080846 | M.musculus:ENSMUSP00000024894 | M.musculus:ENSMUSP00000003137 | M.musculus:ENSMUSP00000025966 | M.musculus:ENSMUSP00000025968 | M.musculus:ENSMUSP00000025969 | M.musculus:ENSMUSP00000044722 | M.musculus:ENSMUSP00000045362 | M.musculus:ENSMUSP00000048284 | M.musculus:ENSMUSP00000065796 | M.musculus:ENSMUSP00000079065 | M.musculus:ENSMUSP00000084487 | M.musculus:ENSMUSP00000084489 | M.musculus:ENSMUSP00000097071 | M.musculus:ENSMUSP00000026211 | M.musculus:ENSMUSP00000060584 | M.musculus:ENSMUSP00000101944
OrthoMCL	DDB_G0271270	DDB_G0271270	M.musculus:ENSMUSP00000110872
OrthoMCL	DDB_G0272318	DDB_G0272318	M.musculus:ENSMUSP00000004054 | M.musculus:ENSMUSP00000099650 | M.musculus:ENSMUSP00000022496 | M.musculus:ENSMUSP00000029353
InParanoid	DDB_G0272318	DDB_G0272318	M.musculus:ENSMUSP00000099650
OrthoMCL	DDB_G0273979	psmD8-2	M.musculus:ENSMUSP00000051657
InParanoid	DDB_G0273979	psmD8-2	M.musculus:ENSMUSP00000051657
OrthoMCL	DDB_G0274587	nup62	M.musculus:ENSMUSP00000103523
OrthoMCL	DDB_G0274593	dst1	M.musculus:ENSMUSP00000018353 | M.musculus:ENSMUSP00000018476
OrthoMCL	DDB_G0275535	DDB_G0275535	M.musculus:ENSMUSP00000020383 | M.musculus:ENSMUSP00000025482 | M.musculus:ENSMUSP00000029257 | M.musculus:ENSMUSP00000042215 | M.musculus:ENSMUSP00000046444 | M.musculus:ENSMUSP00000079238 | M.musculus:ENSMUSP00000088779 | M.musculus:ENSMUSP00000099066 | M.musculus:ENSMUSP00000103019 | M.musculus:ENSMUSP00000103575
OrthoMCL	DDB_G0276877	mybK	M.musculus:ENSMUSP00000041288
InParanoid	DDB_G0276877	mybK	M.musculus:ENSMUSP00000041288
OrthoMCL	DDB_G0276451	DDB_G0276451	M.musculus:ENSMUSP00000021728
OrthoMCL	DDB_G0275689	abcG2	M.musculus:ENSMUSP00000024829 | M.musculus:ENSMUSP00000034648 | M.musculus:ENSMUSP00000031239 | M.musculus:ENSMUSP00000031822 | M.musculus:ENSMUSP00000035246
OrthoMCL	DDB_G0275583	DDB_G0275583	M.musculus:ENSMUSP00000102047
InParanoid	DDB_G0275583	DDB_G0275583	M.musculus:ENSMUSP00000102047
InParanoid	DDB_G0275181	mcee	M.musculus:ENSMUSP00000047855
OrthoMCL	DDB_G0275719	lsm6	M.musculus:ENSMUSP00000049722 | M.musculus:ENSMUSP00000073010
InParanoid	DDB_G0275719	lsm6	M.musculus:ENSMUSP00000049722
OrthoMCL	DDB_G0275413	DDB_G0275413	M.musculus:ENSMUSP00000041388
OrthoMCL	DDB_G0275415	DDB_G0275415	M.musculus:ENSMUSP00000099007
OrthoMCL	DDB_G0275421	DDB_G0275421	M.musculus:ENSMUSP00000049967 | M.musculus:ENSMUSP00000091093 | M.musculus:ENSMUSP00000094036 | M.musculus:ENSMUSP00000098828
InParanoid	DDB_G0275421	DDB_G0275421	M.musculus:ENSMUSP00000091093
OrthoMCL	DDB_G0272969	psmB1	M.musculus:ENSMUSP00000014913
InParanoid	DDB_G0272969	psmB1	M.musculus:ENSMUSP00000014913
OrthoMCL	DDB_G0275845	smg1	M.musculus:ENSMUSP00000032891
InParanoid	DDB_G0275845	smg1	M.musculus:ENSMUSP00000032891
OrthoMCL	DDB_G0273383	cwc15-1	M.musculus:ENSMUSP00000004200
OrthoMCL	DDB_G0276711	rpiA	M.musculus:ENSMUSP00000064158
InParanoid	DDB_G0276711	rpiA	M.musculus:ENSMUSP00000064158
InParanoid	DDB_G0272871	ssu72	M.musculus:ENSMUSP00000030905
OrthoMCL	DDB_G0278821	snrpF	M.musculus:ENSMUSP00000020203
InParanoid	DDB_G0278821	snrpF	M.musculus:ENSMUSP00000020203
OrthoMCL	DDB_G0276615	hmgB	M.musculus:ENSMUSP00000022176
OrthoMCL	DDB_G0278331	DDB_G0278331	M.musculus:ENSMUSP00000039027
InParanoid	DDB_G0278331	DDB_G0278331	M.musculus:ENSMUSP00000039027
OrthoMCL	DDB_G0278827	DDB_G0278827	M.musculus:ENSMUSP00000091197
InParanoid	DDB_G0278827	DDB_G0278827	M.musculus:ENSMUSP00000091197
OrthoMCL	DDB_G0276141	pdi1	M.musculus:ENSMUSP00000052912
OrthoMCL	DDB_G0275323	tipD	M.musculus:ENSMUSP00000108815
InParanoid	DDB_G0275323	tipD	M.musculus:ENSMUSP00000108815
OrthoMCL	DDB_G0275867	DDB_G0275867	M.musculus:ENSMUSP00000063883
OrthoMCL	DDB_G0273907	DDB_G0273907	M.musculus:ENSMUSP00000101852
InParanoid	DDB_G0273907	DDB_G0273907	M.musculus:ENSMUSP00000101852
OrthoMCL	DDB_G0277331	DDB_G0277331	M.musculus:ENSMUSP00000064797 | M.musculus:ENSMUSP00000027897
InParanoid	DDB_G0277331	DDB_G0277331	M.musculus:ENSMUSP00000064797
OrthoMCL	DDB_G0273139	rad51-1	M.musculus:ENSMUSP00000028795 | M.musculus:ENSMUSP00000023065
InParanoid	DDB_G0273139	rad51-1	M.musculus:ENSMUSP00000028795
OrthoMCL	DDB_G0276243	DDB_G0276243	M.musculus:ENSMUSP00000080888
InParanoid	DDB_G0276243	DDB_G0276243	M.musculus:ENSMUSP00000080888
OrthoMCL	DDB_G0274405	DDB_G0274405	M.musculus:ENSMUSP00000022586
OrthoMCL	DDB_G0275503	DDB_G0275503	M.musculus:ENSMUSP00000037890
OrthoMCL	DDB_G0278059	DDB_G0278059	M.musculus:ENSMUSP00000113425
InParanoid	DDB_G0278059	DDB_G0278059	M.musculus:ENSMUSP00000113425
OrthoMCL	DDB_G0275959	DDB_G0275959	M.musculus:ENSMUSP00000004715
InParanoid	DDB_G0275959	DDB_G0275959	M.musculus:ENSMUSP00000003681 | M.musculus:ENSMUSP00000019512
OrthoMCL	DDB_G0273729	DDB_G0273729	M.musculus:ENSMUSP00000025025
InParanoid	DDB_G0273729	DDB_G0273729	M.musculus:ENSMUSP00000025025
OrthoMCL	DDB_G0274697	taf12	M.musculus:ENSMUSP00000101583
InParanoid	DDB_G0274697	taf12	M.musculus:ENSMUSP00000101583
OrthoMCL	DDB_G0274013	DDB_G0274013	M.musculus:ENSMUSP00000034300
InParanoid	DDB_G0274013	DDB_G0274013	M.musculus:ENSMUSP00000034300
OrthoMCL	DDB_G0278023	mrpl33	M.musculus:ENSMUSP00000031024
InParanoid	DDB_G0278023	mrpl33	M.musculus:ENSMUSP00000031024
OrthoMCL	DDB_G0277037	pgs1	M.musculus:ENSMUSP00000017859
InParanoid	DDB_G0277037	pgs1	M.musculus:ENSMUSP00000017859
OrthoMCL	DDB_G0278455	DDB_G0278455	M.musculus:ENSMUSP00000043193
InParanoid	DDB_G0278455	DDB_G0278455	M.musculus:ENSMUSP00000043193
OrthoMCL	DDB_G0278793	DDB_G0278793	M.musculus:ENSMUSP00000029888
InParanoid	DDB_G0278793	DDB_G0278793	M.musculus:ENSMUSP00000029888
OrthoMCL	DDB_G0278285	copB2	M.musculus:ENSMUSP00000035033
InParanoid	DDB_G0278285	copB2	M.musculus:ENSMUSP00000035033
OrthoMCL	DDB_G0280431	rio1	M.musculus:ENSMUSP00000021866
InParanoid	DDB_G0280431	rio1	M.musculus:ENSMUSP00000021866
OrthoMCL	DDB_G0280439	cpiB	M.musculus:ENSMUSP00000005185 | M.musculus:ENSMUSP00000093795 | M.musculus:ENSMUSP00000110508 | M.musculus:ENSMUSP00000023619 | M.musculus:ENSMUSP00000067712 | M.musculus:ENSMUSP00000078181
